MessageID,Message,NS_Mean,NS_Std,normalized_NS_M,normalized_NS_Std,NNS_Mean,NNS_Std,normalized_NNS_M,normalized_NNS_Std
1,Answered at <url>. Maybe you are not familiar with the expression?,-1.285714286,3.352326839,-0.3660898571,0.605846937,0.25,1.707825128,-0.1308005,0.4298515533
2,"Btw, ignoring the London stations it looks like your bot has <url>. Has this happened elsewhere?",-0.5714285714,3.552329886,-0.2279747143,0.7624761072,1.333333333,2.309401077,0.3061803333,0.9189045241
3,Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?,-5.857142857,3.532165126,-1.459812857,0.6080613911,-4.25,5.188127472,-1.47936,1.404727909
4,"""''Images with iconic status or historical importance: As subjects of commentary.''"". Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?",-8.285714286,3.093772547,-1.959905714,0.2309831235,-1.5,1.732050808,-0.8295675,0.7173740925
5,"May I also ask how CheckUser became involved in the matter? To justify such a use of computer records, surely someone needs to invoke a due process of some kind for the action to be justified?",0.7142857143,4.990467103,0.1545771429,1.033260976,3.25,3.947573094,0.652204,1.230926161
6,"Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?",7.285714286,2.811540842,1.448774,0.6616594494,9.5,2.380476143,2.578638,0.3510773175
7,What is a wall these days? 10 sentences?,-3.714285714,4.855041562,-0.853355,0.8244062756,-1,1,-0.5637466667,0.4732786834
8,"I see a ""remove protection"" tab on the <url>, which tells an admin that the article is protected. Are you still able to edit it?",1.285714286,1.112697281,0.08948571429,0.2683353498,2.25,2.62995564,0.4263545,0.6778221734
9,"Why delete the page <url> with no explanation, as an act of deliberate vandalism? Why did you do it?",-5.857142857,4.525062483,-1.432922857,0.5600052611,-5.25,4.573474245,-1.81903,1.198653033
10,"Thanks a ton for looking that up for me. For the purposes of a citation, what are the page numbers for the whole article?",7.571428571,3.735288604,1.440757857,0.6259282359,5.25,5.123475383,1.343029,1.476054775
11,Is this okay? Or OTT?,2,3.958114029,0.134379,0.8257246034,-1,1.732050808,-0.268118,0.2827071912
12,"Hi, <name>, I was just wondering why you did <url>. If in your opinion that text shouldn't be there, why not just delete it completely?",-0.1428571429,3.97611919,-0.4098097143,1.265215414,0,4.636809248,-0.0499172,0.8881012118
13,"Also, both <url> and <url> wikilink ""hiatus"", which goes to a disambiguation page. What meaning of the word did you intend?",-0.1428571429,2.115700942,-0.1858784286,0.2934345218,-1.8,1.303840481,-0.481416,0.1630646873
14,"I am puzzled by your ""fixing"" of the recursion formula at <url>. Why do you consider it important to put ''B''<sub>''k''</sub> ''before'' rather than ''after'' the binomial coefficient?",-2.428571429,2.572750983,-0.7270514286,0.4221589238,-2.8,3.1144823,-0.671524,0.5992895625
15,"That's ""fucking consistent naming-schemers"", please. Unless there's some actual reason for a) restriction to highways, b) infeasibly small stub categories, and c) inconsistent capitalisation?",-8.857142857,3.804758925,-2.128534286,0.4949086766,-8.75,2.62995564,-2.3503525,0.4516392658
16,Hey <name> I have a quick question - do you do photo requests in NOVA and/or DC?,5.285714286,2.058663459,0.9327462857,0.5007600556,0.6,2.880972058,0.1012486,0.5879667796
17,Nothing messed up from where I'm sitting. What kind of messed up?,-2.285714286,4.38612531,-0.5947534286,0.9154425087,-1.75,2.061552813,-0.47139,0.4228816209
18,"Regarding <url>, <url> says not to redlink in See also (asking people to also see something non-existing would be strange). Are you planning an article or misspelled an existing article?",1.571428571,3.10145895,0.09981057143,0.5560554819,-2.4,2.302172887,-0.665072,0.5016268128
19,"I was thinking on it, but one question: I see several articles either deleted or promoted to Featured Article after the oldid the sweeps uses. I'm assuming we simply ignore these?",0.7142857143,1.496026483,-0.08297757143,0.2727558105,2,2.449489743,0.4156198,0.4667893591
20,That is weird. What happens if you create Usor:Rolandus?,0.5714285714,1.988059595,-0.160362,0.4765538748,0.75,1.5,0.0788415,0.4272287412
21,I think we're going to just have to agree to disagree on whether it is a sub genre or fusion then! Can we at least agree to leave the three genres on Dookie as they are?,1.571428571,4.157609203,0.006847714286,0.7147124764,-4.833333333,3.970726214,-0.982355,0.4518592221
22,"Thanks for the redirect help! Is that something I can do myself in the future, or is that an admin thing?",5.857142857,2.115700942,1.039117571,0.5024540753,8.166666667,2.994439291,1.696576167,0.3766329525
23,Do You have the list of other flag bearers from other countries? And do you have a video link of the parade of nations?,2,2.380476143,0.1765611429,0.460496229,0.3333333333,0.8164965809,0.007478666667,0.1658759334
24,It is being suggested on <url> that the recent round of editing of <url> in which you were involved amounted to no more than sanitisation. Perhaps you could advise?,3,2.366431913,0.2243283333,0.4653293979,4,4.335896678,0.6160936667,0.63437861
25,"Looking at Kotorkid's contributions on <url>, three hours seems too short for a block. Considering that their three and only edits were all vandalism, would you support an indef-block for vandalism-only account for them?",1.714285714,2.288688541,0.017548,0.5069948472,3,5.787918451,0.49877,0.9013021107
26,"As another aside, they are mostly Germans. What's up with that?",-2,4.898979486,-0.5504487143,1.421427109,-2,2.28035085,-0.4968866667,0.4358129095
27,The profile seems good as it is. Why don't we bring this back up after the Hibiki 2-parter?,2,2.081665999,0.03092285714,0.6234953418,2.166666667,1.169045194,0.4195205,0.5071940419
28,US national defense for the twenty-first century: the grand exit strategy By Edward A. Olsen. did you read p 179 and 181?,0.1666666667,2.316606714,-0.3266183333,0.5781709669,-4.833333333,3.868677638,-1.201743333,0.7662590478
29,"what do you think was the purpose of this Fesselballon? if it wasn't military, what was the point in shooting it down?",-0.1428571429,2.794552524,-0.5915787143,1.299707238,-4.666666667,4.179314138,-1.099111667,0.8364479887
30,Out of curiosity what are you testing? How are things going?,6.142857143,2.672612419,1.253356286,0.7138735287,0.1666666667,6.369196705,-0.1554801667,1.312055358
31,"Ok, I'd agree about <url> being better. Should I delete the other one (you could also tag it for speedy deletion as a mistake)?",3.142857143,2.193062655,0.08565042857,0.3784112475,4.2,4.086563348,0.6011252,0.7713111002
32,"Thanks for your support! Would you consider commenting on the <url> talk page, saying it has your support (and adding those comments for discussion)?",8,4.69041576,1.225865571,0.7413716518,5.2,3.420526275,0.8124232,0.6086911255
33,Would you like to elaborate? How are you empowering me exactly?,-2.285714286,5.529143566,-1.064999143,0.8980950273,1.6,7.436396977,-0.0011276,1.378784441
34,"As you've noticed, I'm on a tear through general topology, which was going well, until I went to revise/merge/update <url>, when I stumbled on a very simple conceptual issue. Could you look at the talk page, and tell me what I'm doing wrong?",4.428571429,4.353433237,0.3540287143,0.5577708007,4.6,2.302172887,0.685162,0.3851795922
35,"Hi. I'm not disputing your reversion of my edit, but would you please point to any other article that has a reading list that is 100% from a single author?",1.428571429,3.408672413,-0.1851351429,0.7269276478,5,6.244997998,0.869963,1.245231505
36,"What are you looking for regarding reliable sources? Of the above statements, what needs to be sourced outside of the manga itself?",2.428571429,4.466808811,0.027419,0.7549424728,1.2,4.549725266,-0.1491118,0.8465982532
37,"Thanks for the help! That info should be on <url> in easy to read form, no?",6.285714286,4.498677054,0.8140417143,0.6993998971,5.2,4.38178046,0.7385756,0.7821201758
38,"Yes, I do, but Norris is generally better. What points/issues do you think it should also cover?",3.142857143,3.287784027,0.1203922857,0.3451248686,3.8,3.033150178,0.5638976,0.4487714701
39,"Those of us who've been here the whole time are pretty incredulous about it also. :) We miss your fine editing style and hope you come back sometime -- keep looking in on us now and then, at least?",6.285714286,5.023753103,0.8002221429,0.9686360144,6.2,3.834057903,1.1907618,1.09668522
40,Fatwa? What is that?,1,4.966554809,-0.412715,0.711496754,-2,7.176350047,-0.7921198,1.243344795
41,"I see. What about ""Main Church""?",2,2.886751346,0.059501,0.3874306915,0,0.7071067812,-0.3027384,0.3726936866
42,"Could you please explain to me what the buttons do? How do you ""Not accept"" a change, that's what...you revert it, don't you...?",3.428571429,6.425396041,0.3169397143,1.189332593,3.2,2.774887385,0.6975514,1.143083328
43,to the Citations missing template. What's the deal?,-3.166666667,5.115336418,-1.04619,0.3957405792,-0.8,4.38178046,-0.4588788,0.7798174208
44,"Hi, I've added a question to your Request for Adminship. Also, could you elaborate on how you will ''prevent'' vandalism?",3.142857143,4.140393356,0.1610892857,0.9680150731,3.2,4.086563348,0.5592786,1.342677641
45,I got the page fixed. Sorry I had to do it several times on the page but it wouldn't let me revert it to before the IP user vandalized it how do you do that?,6.142857143,3.760699023,0.9241925714,0.5252450091,5,4.472135955,1.144101,1.072273988
46,I'm trying to keep Minority Report as a Good Article and the <url> requested for copyediting - but didn't give examples to cleanup. Can you give me some input on what to rewrite?,4.857142857,3.236694375,0.5201155714,0.8455690397,1,2.915475947,-0.0918178,1.033476308
47,"Molte grazie, just one last thing, if this is the only source then how I'm supposed to cite it there. Do you have any better way?",2.857142857,4.525062483,0.2094684286,0.608966074,0.25,1.258305739,-0.2529745,0.6269047199
48,"If you can't back up that I've used it in WP with a diff/evidence, do you feel that it's appropriate to say that I've used the term in the context such as the diff I provided above? If so, why?",0.8571428571,5.047394424,-0.2814997143,0.9002450169,-1,2.121320344,-0.541678,0.1753580388
49,What do you think? And how does one go about establishing this project group?,3.857142857,5.55063274,0.3881285714,0.8031317558,-0.2,0.4472135955,-0.3295988,0.4192042547
50,"I will understand if you decline, but would very much like you to accept. May I nominate you?",10.28571429,2.214669706,1.728183429,0.5206770681,3.6,4.335896678,1.220829,2.02831798
51,I thought that only section tags go into sections while the article tags go to the top of the page so they could serve it's purpose. Is there a Wikipedia guideline that can substantiate your revert?,0.5714285714,4.035556255,-0.2283405714,0.5093205129,0.25,1.258305739,-0.0296115,0.3878385272
52,"Hmm, now I feel ignorant. Are you aware of a good source we could stick in the article to back this up?",2.428571429,3.598941643,0.161272,0.7152459368,0,1.632993162,0.00187975,0.476478815
53,<url> shows that Geo Swan has become active and <url> indicates that the problems mentioned at the RfC may be continuing. Would you close the RfC with the drafted summary?,4.142857143,3.933978962,0.5435915714,0.5959295352,0,1.632993162,-0.1027565,0.4784263789
54,"I have looked back in my archives a year, and cannot find the issue concerned - although I certainly remember the name, your account, and the style. Can you give me the relevant link/diff, so I can refresh my memory and be best informed what action might be appropriate?",5,3.366501646,0.6948792857,0.5163922098,0.25,1.707825128,0.0576415,0.4709325869
55,I just sent you an email. Did it work?,1.142857143,3.625307869,-0.06615357143,0.4282178832,-0.5,1.290994449,-0.14457725,0.3726310869
56,"Ah well, if you are going to have such a bizarre flight of fancy as far as to calling it an attack page then perhaps I will remove it. Maybe you should also look at how you interact with others?",-6.285714286,3.251373336,-1.617517143,0.6664248613,-1.25,2.061552813,-0.32796,0.4806310967
57,"Hi there. Regarding the comment you added <url>, how can this be verified?",3.428571429,2.507132682,0.4054764286,0.8592727438,-0.25,1.707825128,-0.05388275,0.5071116008
